Effective pixels,Optical_Zoom,Weight (inc. batteries),Dimensions,Label,Model,Release date
5.0,3.1,170.0,91.0,Entry Level,Nikon Coolpix L3,2006
3.0,3.0,190.0,88.0,Entry Level,Nikon Coolpix 4100,2004
3.0,3.0,215.0,88.0,Entry Level,Nikon Coolpix 3100,2003
1.0,3.0,215.0,88.0,Entry Level,Nikon Coolpix 2100,2003
10.0,1.0,591.0,139.0,Entry Level,Leica M8,2006
2.0,3.0,280.0,78.0,Entry Level,Leica Digilux 4.3,2000
1.0,1.0,260.0,80.0,Entry Level,Leica Digilux,1998
8.0,5.0,211.0,90.0,Entry Level,Kodak Z885,2007
6.0,3.0,259.0,100.0,Entry Level,Kodak Z760,2005
5.0,10.0,400.0,97.0,Entry Level,Kodak Z7590,2005
5.0,10.0,330.0,98.0,Entry Level,Kodak Z740,2005
5.0,4.0,270.0,100.0,Entry Level,Kodak Z730,2005
7.0,11.8,350.0,104.0,Entry Level,Kodak Z712,2007
7.0,10.0,360.0,98.0,Entry Level,Kodak Z710,2006
4.0,5.0,270.0,97.0,Entry Level,Kodak Z700,2005
6.0,5.0,195.0,90.0,Entry Level,Nikon Coolpix L1,2005
6.0,10.0,320.0,98.0,Entry Level,Kodak Z650,2006
12.0,5.0,211.0,90.0,Entry Level,Kodak Z1275,2007
8.0,3.0,185.0,103.0,Entry Level,Kodak V803,2007
7.0,5.1,165.0,101.0,Entry Level,Kodak V705,2006
6.0,10.0,195.0,111.0,Entry Level,Kodak V610,2006
5.0,3.0,175.0,101.0,Entry Level,Kodak V570,2006
5.0,3.0,160.0,94.0,Entry Level,Kodak V550,2005
5.0,3.0,150.0,92.0,Entry Level,Kodak V530,2005
10.0,3.0,185.0,103.0,Entry Level,Kodak V1003,2007
8.0,5.8,570.0,116.0,Entry Level,Kodak P880,2005
5.0,12.0,450.0,108.0,Entry Level,Kodak P850,2005
7.0,12.0,440.0,108.0,Entry Level,Kodak P712,2006
8.0,3.0,166.0,92.0,Entry Level,Kodak M883,2007
8.0,3.0,160.0,92.0,Entry Level,Kodak M873,2007
8.0,3.0,165.0,93.0,Entry Level,Kodak M853,2007
6.0,12.0,330.0,104.0,Entry Level,Kodak Z612,2006
4.0,3.0,165.0,90.0,Entry Level,Nikon Coolpix L10,2007
6.0,3.0,175.0,90.0,Entry Level,Nikon Coolpix L11,2007
